hour,dow,count_2023,fare_2023,total_2023,count_2024,fare_2024,total_2024,imputed_count,imputed_fare,imputed_total
0,0,,,,29129,18.521657798070684,26.512057056541696,20390.3,12.965160458649478,18.558439939579188
0,1,,,,7772,23.616307256819347,33.1635627895008,5440.4,16.53141507977354,23.21449395265056
0,2,,,,9157,21.594781041825925,30.705246259692082,6409.9,15.116346729278147,21.493672381784457
0,3,,,,9012,19.78335108743898,28.190722370173106,6308.4,13.848345761207286,19.73350565912117
0,4,,,,11158,20.438553504212237,29.249749058971137,7810.599999999999,14.306987452948565,20.474824341279795
0,5,,,,18194,20.795371001429082,29.626875893151578,12735.8,14.556759701000356,20.738813125206104
0,6,,,,25007,18.51764825848764,26.689688087335565,17504.899999999998,12.962353780941347,18.682781661134893
1,0,,,,21207,16.486586504456074,23.959901447635243,14844.9,11.54061055311925,16.77193101334467
1,1,,,,3972,24.870961732124872,33.970730110775435,2780.3999999999996,17.40967321248741,23.779511077542804
1,2,,,,4176,20.658055555555556,29.050972222222203,2923.2,14.460638888888889,20.33568055555554
1,3,,,,4434,17.712986017140263,24.994170049616564,3103.7999999999997,12.399090211998184,17.495919034731592
1,4,,,,4991,19.21614906832299,27.738679623321975,3493.7,13.451304347826094,19.41707573632538
1,5,,,,10073,18.96793805221879,27.17021642013305,7051.099999999999,13.277556636553154,19.019151494093133
1,6,,,,17592,16.61925875397906,24.25842144156434,12314.4,11.633481127785341,16.980895009095036
2,0,,,,14875,15.626654117647044,22.85439394957981,10412.5,10.938657882352931,15.998075764705865
2,1,,,,1896,19.3509493670886,26.995184599156094,1327.1999999999998,13.545664556962018,18.896629219409263
2,2,,,,2101,16.510818657782007,23.85178486435031,1470.6999999999998,11.557573060447405,16.696249405045215
2,3,,,,2143,16.713103126458236,23.541059262715805,1500.1,11.699172188520764,16.478741483901064
2,4,,,,2279,17.32085563843791,25.18752523036419,1595.3,12.124598946906536,17.63126766125493
2,5,,,,5306,16.365831134564644,23.984494911421024,3714.2,11.45608179419525,16.789146437994717
2,6,,,,12347,15.776299505952878,22.9845776301936,8642.9,11.043409654167014,16.089204341135517
3,0,,,,10358,16.871131492566136,24.080049237304546,7250.599999999999,11.809792044796295,16.856034466113183
3,1,,,,1466,21.04020463847204,28.952251023192357,1026.2,14.728143246930427,20.266575716234648
3,2,,,,1353,19.905528455284557,27.663991130820392,947.0999999999999,13.93386991869919,19.36479379157427
3,3,,,,1438,19.8206050069541,27.40198191933239,1006.5999999999999,13.874423504867869,19.18138734353267
3,4,,,,1552,19.180599226804127,27.622293814432997,1086.3999999999999,13.426419458762888,19.335605670103096
3,5,,,,3085,18.674612641815237,26.786622366288476,2159.5,13.072228849270665,18.750635656401933
3,6,,,,7534,16.340479161136184,23.51379479692061,5273.799999999999,11.438335412795327,16.459656357844427
4,0,,,,6847,21.401742368920694,29.37191616766468,4792.9,14.981219658244484,20.560341317365275
4,1,,,,2346,29.50793691389598,39.892280477408335,1642.1999999999998,20.655555839727185,27.924596334185832
4,2,,,,1716,28.56567599067599,38.77891608391608,1201.1999999999998,19.995973193473194,27.145241258741255
4,3,,,,1557,29.135587668593455,39.21134232498394,1089.8999999999999,20.394911368015418,27.447939627488754
4,4,,,,1652,28.3698244552058,38.59812953995155,1156.3999999999999,19.85887711864406,27.018690677966084
4,5,,,,2515,26.51276739562623,36.58761829025845,1760.5,18.55893717693836,25.61133280318091
4,6,,,,4557,21.187375466315565,28.996333113890714,3189.8999999999996,14.831162826420895,20.297433179723498
5,0,,,,3198,28.753680425265774,38.69570669168227,2238.6,20.12757629768604,27.086994684177586
5,1,,,,4163,29.34373288493873,39.52421330771079,2914.1,20.540613019457112,27.66694931539755
5,2,,,,3377,27.463651169677217,37.35401835949066,2363.8999999999996,19.22455581877405,26.14781285164346
5,3,,,,2812,26.804523470839253,36.66168563300142,1968.3999999999999,18.763166429587475,25.663179943100992
5,4,,,,3026,27.712336417713143,37.99163582286844,2118.2,19.398635492399197,26.594145076007905
5,5,,,,3288,27.632822384428227,37.959075425790736,2301.6,19.342975669099758,26.571352798053514
5,6,,,,2341,28.060756087142234,38.03747543784706,1638.6999999999998,19.642529260999563,26.62623280649294
6,0,,,,4617,26.96069742256875,35.86238466536709,3231.8999999999996,18.872488195798123,25.10366926575696
6,1,,,,8948,22.068904783191794,29.96961220384447,6263.599999999999,15.448233348234254,20.978728542691126
6,2,,,,7860,21.03529643765903,28.700470737913523,5502.0,14.724707506361321,20.090329516539466
6,3,,,,6968,20.487089552238814,28.184293915040254,4877.599999999999,14.340962686567169,19.729005740528176
6,4,,,,7769,20.85347921225384,28.39180589522462,5438.299999999999,14.597435448577688,19.874264126657234
6,5,,,,6795,22.63772774098599,30.788775570272282,4756.5,15.846409418690193,21.552142899190596
6,6,,,,3657,24.884306808859723,33.2780010937927,2559.8999999999996,17.419014766201805,23.29460076565489
7,0,,,,6770,24.31803397341212,33.24420088626295,4739.0,17.022623781388482,23.270940620384064
7,1,,,,17447,19.505384879922065,27.155199747807714,12212.9,13.653769415945446,19.008639823465398
7,2,,,,16908,18.32479418026968,25.802349775254395,11835.599999999999,12.827355926188776,18.061644842678074
7,3,,,,16031,18.448776745056442,25.879683737758164,11221.699999999999,12.914143721539508,18.115778616430713
7,4,,,,16437,18.57169556488409,25.962572853927178,11505.9,13.000186895418864,18.173800997749023
7,5,,,,14540,18.896536451169204,26.375134800550292,10178.0,13.227575515818442,18.462594360385204
7,6,,,,5698,21.53248859248858,29.459317304317278,3988.6,15.072742014742005,20.621522113022092
8,0,,,,10782,20.87089964756074,29.08957150806907,7547.4,14.609629753292518,20.362700055648347
8,1,,,,23888,19.040989199598116,26.824338161420034,16721.6,13.32869243971868,18.777036712994022
8,2,,,,24133,17.95380516305475,25.46965110015336,16893.1,12.567663614138324,17.82875577010735
8,3,,,,21136,18.206436884935645,25.750745647236997,14795.199999999999,12.74450581945495,18.025521953065898
8,4,,,,22258,18.42488902866385,25.94935034594309,15580.599999999999,12.897422320064694,18.16454524216016
8,5,,,,18947,18.000147780651332,25.544603895075827,13262.9,12.600103446455932,17.881222726553077
8,6,,,,9899,18.162951813314482,25.63289625214674,6929.299999999999,12.714066269320137,17.943027376502716
9,0,,,,17609,18.146862399909175,25.826133795218457,12326.3,12.702803679936421,18.078293656652917
9,1,,,,24839,18.808375135875036,26.67053142236008,17387.3,13.165862595112523,18.669371995652057
9,2,,,,25259,18.18716497090144,25.96980957282564,17681.3,12.731015479631006,18.178866700977945
9,3,,,,20689,18.241206438203903,26.036296582725168,14482.3,12.768844506742731,18.225407607907616
9,4,,,,22651,18.58344355657585,26.474062955278,15855.699999999999,13.008410489603095,18.5318440686946
9,5,,,,20686,18.525160011602075,26.416339553321166,14480.199999999999,12.967612008121453,18.491437687324815
9,6,,,,15956,16.416412634745587,23.59242541990485,11169.199999999999,11.49148884432191,16.514697793933394
10,0,,,,25099,17.880342244710977,25.63760667755699,17569.3,12.516239571297683,17.946324674289894
10,1,,,,26238,19.426959371903347,27.62899344462241,18366.6,13.598871560332343,19.340295411235687
10,2,,,,26006,18.77402560947472,26.734767361378225,18204.199999999997,13.141817926632303,18.714337152964756
10,3,,,,20931,19.293340499737187,27.523225359514687,14651.699999999999,13.50533834981603,19.26625775166028
10,4,,,,23302,19.693533173118187,27.983748605270005,16311.4,13.78547322118273,19.588624023689004
10,5,,,,22797,19.08406544720794,27.20417072421817,15957.9,13.358845813045559,19.042919506952718
10,6,,,,21739,16.211071806430848,23.44672846037087,15217.3,11.347750264501594,16.41270992225961
11,0,,,,29999,17.93259575319182,25.700829027634352,20999.3,12.552817027234273,17.990580319344044
11,1,,,,28188,19.865322832411007,27.984380232723247,19731.6,13.905725982687704,19.58906616290627
11,2,,,,28240,19.37715580736545,27.473395184136052,19768.0,13.564009065155815,19.231376628895234
11,3,,,,22443,20.199157866595357,28.499720625584885,15710.099999999999,14.139410506616748,19.949804437909417
11,4,,,,24682,20.3340227696297,28.667121789158244,17277.399999999998,14.23381593874079,20.06698525241077
11,5,,,,24967,19.390654463892336,27.355331838026284,17476.899999999998,13.573458124724635,19.148732286618397
11,6,,,,26390,16.505399772641148,23.705506631299826,18473.0,11.553779840848803,16.59385464190988
12,0,,,,33443,18.963410280178234,26.915683401608838,23410.1,13.274387196124763,18.840978381126185
12,1,,,,31318,20.033085765374544,28.128293952359794,21922.6,14.02316003576218,19.689805766651855
12,2,,,,30822,19.532303873856332,27.52266725066525,21575.399999999998,13.672612711699431,19.265867075465675
12,3,,,,24561,20.556817719148228,28.723010870892917,17192.7,14.389772403403759,20.10610760962504
12,4,,,,26836,20.85901624683261,29.23893762110612,18785.199999999997,14.601311372782826,20.467256334774284
12,5,,,,26682,19.923362191739766,27.95899707668098,18677.399999999998,13.946353534217836,19.571297953676684
12,6,,,,28866,17.738352386891165,25.10915298274804,20206.199999999997,12.416846670823816,17.576407087923627
13,0,,,,33953,19.82693134627276,27.828412805937777,23767.1,13.878851942390932,19.479888964156444
13,1,,,,33278,20.884329286615767,29.140305607308267,23294.6,14.619030500631036,20.398213925115787
13,2,,,,31531,20.044411214360505,28.10438457391149,22071.699999999997,14.031087850052351,19.67306920173804
13,3,,,,24615,21.32488604509444,29.683231769246497,17230.5,14.927420231566108,20.778262238472546
13,4,,,,27515,21.429100127203366,29.98770670543354,19260.5,15.000370089042356,20.991394693803475
13,5,,,,28682,20.431879576040686,28.540537968063735,20077.399999999998,14.302315703228478,19.978376577644614
13,6,,,,29913,18.496833149466788,25.947420519506743,20939.1,12.94778320462675,18.163194363654718
14,0,1.0,8.6,13.88,35417,21.404369088290906,30.05651975040243,24792.199999999997,17.563058361803634,25.203563825281698
14,1,,,,36702,21.68062694131111,30.244647158193086,25691.399999999998,15.176438858917777,21.17125301073516
14,2,,,,34386,20.628029430582224,28.941199034490886,24070.199999999997,14.439620601407556,20.25883932414362
14,3,,,,26552,21.96310334438083,30.547361027418034,18586.399999999998,15.37417234106658,21.383152719192623
14,4,,,,30254,21.947771534342564,30.612210947312903,21177.8,15.363440074039794,21.42854766311903
14,5,,,,32557,21.307296741100227,29.687837024295945,22789.899999999998,14.915107718770159,20.78148591700716
14,6,,,,30913,19.04616763174075,26.67267266198701,21639.1,13.332317342218525,18.670870863390906
15,0,,,,35784,21.637608707802336,30.077103733512356,25048.8,15.146326095461633,21.053972613458647
15,1,,,,37801,21.473816565699284,29.876448771196692,26460.699999999997,15.031671595989497,20.913514139837684
15,2,,,,36159,20.232092425122445,28.36141347935521,25311.3,14.16246469758571,19.852989435548647
15,3,,,,27888,21.754121127366624,30.300447504302984,19521.6,15.227884789156635,21.21031325301209
15,4,,,,32677,21.991957033999437,30.557994307923067,22873.899999999998,15.394369923799605,21.390596015546144
15,5,,,,34644,21.127159681330074,29.468440711234354,24250.8,14.789011776931051,20.62790849786405
15,6,,,,33753,19.77680680235831,27.528326963529317,23627.1,13.843764761650815,19.26982887447052
16,0,,,,36873,22.29848100235939,30.962776557372717,25811.1,15.608936701651572,21.6739435901609
16,1,,,,36796,22.04092591586038,33.09833922165465,25757.199999999997,15.428648141102265,23.16883745515825
16,2,,,,37123,20.34969937774423,30.94447458448958,25986.1,14.24478956442096,21.661132209142703
16,3,,,,28529,22.160053980160512,32.797521469382126,19970.3,15.512037786112357,22.958265028567485
16,4,,,,33618,22.19510024391695,33.26498423463627,23532.6,15.536570170741864,23.28548896424539
16,5,,,,33589,20.578238113668192,31.142699693352093,23512.3,14.404766679567734,21.799889785346462
16,6,,,,34071,20.136624108479328,27.83074227348786,23849.699999999997,14.09563687593553,19.4815195914415
17,0,,,,34541,21.852121247213496,30.245017804927553,24178.699999999997,15.296484873049446,21.171512463449286
17,1,,,,38543,20.22870793659029,30.83570583504148,26980.1,14.160095555613202,21.584994084529036
17,2,,,,39844,19.323091557072573,29.61993549844404,27890.8,13.5261640899508,20.733954848910827
17,3,,,,31972,20.49011166020266,30.81015482297014,22380.399999999998,14.343078162141861,21.567108376079098
17,4,,,,37168,20.574613108049913,31.166074311235594,26017.6,14.402229175634938,21.816252017864915
17,5,,,,37449,19.58067985794011,29.932349862479796,26214.3,13.706475900558075,20.952644903735855
17,6,,,,35320,20.149510758776927,27.650079841449678,24724.0,14.104657531143848,19.355055889014775
18,0,,,,32213,20.655411790270996,28.69647999254962,22549.1,14.458788253189697,20.087535994784734
18,1,,,,37907,18.281044134328727,28.404973487746428,26534.899999999998,12.796730894030109,19.8834814414225
18,2,,,,41348,17.54876221340809,27.487386088807316,28943.6,12.284133549385661,19.24117026216512
18,3,,,,38120,18.887825288562393,28.848315057712597,26684.0,13.221477701993674,20.193820540398818
18,4,,,,40062,19.14951150716391,29.360102840597218,28043.399999999998,13.404658055014737,20.552071988418053
18,5,,,,39812,18.373067165678684,28.2399324324326,27868.399999999998,12.861147015975078,19.767952702702818
18,6,,,,36602,19.506715480028426,26.843659362876423,25621.399999999998,13.654700836019897,18.790561554013493
19,0,,,,28758,20.43998574309752,28.649145281313135,20130.6,14.307990020168262,20.054401696919193
19,1,,,,30433,18.273963132126298,28.64412808464512,21303.1,12.791774192488408,20.050889659251585
19,2,,,,37012,17.132919593645337,27.01846563276792,25908.399999999998,11.993043715551735,18.912925942937544
19,3,,,,34070,18.80149398297626,28.674570883475305,23849.0,13.161045788083381,20.072199618432712
19,4,,,,34852,18.62875932514635,28.76174136347999,24396.399999999998,13.040131527602446,20.133218954435993
19,5,,,,35529,18.16018238621971,27.85741703960149,24870.3,12.712127670353796,19.50019192772104
19,6,,,,34356,18.862419373617417,26.048359820700977,24049.199999999997,13.20369356153219,18.233851874490682
20,0,,,,25222,20.688493775275578,30.018701133930804,17655.399999999998,14.481945642692903,21.013090793751562
20,1,,,,28149,18.91147394223591,28.037046076237203,19704.3,13.238031759565137,19.62593225336604
20,2,,,,40055,17.056626139058814,25.450845587317534,28038.5,11.939638297341169,17.815591911122272
20,3,,,,31259,18.809558847052106,27.580309350907093,21881.3,13.166691192936474,19.306216545634964
20,4,,,,32426,19.38894004810955,28.466293098131263,22698.199999999997,13.572258033676684,19.926405168691883
20,5,,,,29700,19.0149282828283,27.598477104377206,20790.0,13.31044979797981,19.318933973064045
20,6,,,,28946,19.32206315207628,27.51323360740697,20262.199999999997,13.525444206453395,19.259263525184878
21,0,,,,22633,20.57528873768392,29.997806742367402,15843.099999999999,14.402702116378743,20.99846471965718
21,1,,,,29194,18.26831506473936,27.056450983078783,20435.8,12.787820545317553,18.939515688155147
21,2,,,,41420,17.365164896185405,25.69774770642204,28993.999999999996,12.155615427329783,17.988423394495427
21,3,,,,33156,18.84755911448909,27.643550186994908,23209.199999999997,13.193291380142362,19.350485130896434
21,4,,,,35023,19.451938725980042,28.378731690603384,24516.1,13.61635710818603,19.86511218342237
21,5,,,,29533,18.913821149222873,27.578260928452973,20673.1,13.23967480445601,19.30478264991708
21,6,,,,27778,18.942810137518933,27.12991504067973,19444.6,13.259967096263253,18.99094052847581
22,0,,,,18716,21.1783367172473,30.587179952981433,13101.199999999999,14.82483570207311,21.411025967087003
22,1,,,,24049,19.11173603892051,28.005333693708742,16834.3,13.378215227244358,19.603733585596117
22,2,,,,35140,17.120559191804265,25.32084006829825,24598.0,11.984391434262985,17.724588047808773
22,3,,,,28989,19.51600262168405,28.297771568526052,20292.3,13.661201835178833,19.808440097968234
22,4,,,,32944,19.869097255949473,28.727916767848463,23060.8,13.90836807916463,20.109541737493924
22,5,,,,30525,18.81342113022113,27.237317608517642,21367.5,13.16939479115479,19.066122325962347
22,6,,,,29049,18.826430513959203,26.97448104926171,20334.3,13.178501359771442,18.882136734483193
23,0,11.0,15.027272727272726,22.574545454545454,13661,23.747347924749285,33.779328014054705,9565.999999999998,21.131325365506317,30.417893246201928
23,1,,,,16348,21.191527403963786,30.684259848299543,11443.599999999999,14.834069182774648,21.478981893809678
23,2,,,,21673,18.608377243575003,27.164854427167498,15171.099999999999,13.025864070502502,19.015398099017247
23,3,,,,20522,19.576962771659684,28.333420231946242,14365.4,13.703873940161778,19.833394162362367
23,4,,,,27246,20.917687366952933,29.977428980400845,19072.199999999997,14.642381156867051,20.98420028628059
23,5,,,,29017,18.46765723541373,26.762757349140195,20311.899999999998,12.927360064789609,18.733930144398133
23,6,,,,28773,19.468807215097446,27.62371285580233,20141.1,13.628165050568212,19.336598999061632
